timestamp,yy,xx,value,type
1588870800,-60,90,-15,soilhumidity
1588870800,-40,0,-12,soilhumidity
1588870800,-40,30,-22,soilhumidity
1588870800,-40,60,-21,soilhumidity
1588870800,-40,90,-17,soilhumidity
1588870800,-20,0,-14,soilhumidity
1588870800,-20,30,-19,soilhumidity
1588870800,-20,60,-20,soilhumidity
1588870800,-20,90,-22,soilhumidity
1588874400,-60,0,-17,soilhumidity
1588874400,-60,30,-17,soilhumidity
1588874400,-60,60,-12,soilhumidity
1588874400,-60,90,-13,soilhumidity
1588874400,-40,0,-14,soilhumidity
1588874400,-40,30,-19,soilhumidity
1588874400,-40,60,-26,soilhumidity
1588874400,-40,90,-17,soilhumidity
1588874400,-20,0,-14,soilhumidity
1588874400,-20,30,-18,soilhumidity
1588874400,-20,60,-20,soilhumidity
1588874400,-20,90,-22,soilhumidity
1588878000,-60,0,-17,soilhumidity
1588878000,-60,30,-18,soilhumidity
1588878000,-60,60,-12,soilhumidity
1588878000,-60,90,-13,soilhumidity
1588878000,-40,0,-14,soilhumidity
1588878000,-40,30,-13,soilhumidity
1588878000,-40,60,-21,soilhumidity
1588878000,-40,90,-17,soilhumidity
1588878000,-20,0,-13,soilhumidity
1588878000,-20,30,-22,soilhumidity
1588878000,-20,60,-19,soilhumidity
1588878000,-20,90,-22,soilhumidity
1588881600,-60,0,-17,soilhumidity
1588881600,-60,30,-17,soilhumidity
1588881600,-60,60,-12,soilhumidity
1588881600,-60,90,-13,soilhumidity
1588881600,-40,0,-14,soilhumidity
1588881600,-40,30,-13,soilhumidity
1588881600,-40,60,-21,soilhumidity
1588881600,-40,90,-17,soilhumidity
1588881600,-20,0,-13,soilhumidity
1588881600,-20,30,-13,soilhumidity
1588881600,-20,60,-19,soilhumidity
1588881600,-20,90,-22,soilhumidity
1588885200,-60,0,-21,soilhumidity
1588885200,-60,30,-17,soilhumidity
1588885200,-60,60,-12,soilhumidity
1588885200,-60,90,-13,soilhumidity
1588885200,-40,0,-14,soilhumidity
1588885200,-40,30,-13,soilhumidity
1588885200,-40,60,-17,soilhumidity
1588885200,-40,90,-17,soilhumidity
1588885200,-20,0,-13,soilhumidity
1588885200,-20,30,-13,soilhumidity
1588885200,-20,60,-19,soilhumidity
1588885200,-20,90,-22,soilhumidity
1588888800,-60,0,-21,soilhumidity
1588888800,-60,30,-17,soilhumidity
1588888800,-60,60,-12,soilhumidity
1588888800,-60,90,-13,soilhumidity
1588888800,-40,0,-14,soilhumidity
1588888800,-40,30,-13,soilhumidity
1588888800,-40,60,-13,soilhumidity
1588888800,-40,90,-17,soilhumidity
1588888800,-20,0,-13,soilhumidity
1588888800,-20,30,-13,soilhumidity
1588888800,-20,60,-19,soilhumidity
1588888800,-20,90,-23,soilhumidity
1588892400,-60,0,-21,soilhumidity
1588892400,-60,30,-17,soilhumidity
1588892400,-60,60,-12,soilhumidity
1588892400,-60,90,-13,soilhumidity
1588892400,-40,0,-14,soilhumidity
1588892400,-40,30,-13,soilhumidity
1588892400,-40,60,-13,soilhumidity
1588892400,-40,90,-17,soilhumidity
1588892400,-20,0,-13,soilhumidity
1588892400,-20,30,-13,soilhumidity
1588892400,-20,60,-19,soilhumidity
