timestamp,value,type
1589576400,68.55,airhumidity
1589580000,72.95,airhumidity
1589583600,81.55,airhumidity
1589587200,86.2,airhumidity
1589590800,91.2,airhumidity
1589594400,91.9,airhumidity
1589598000,94.7,airhumidity
1589601600,94.4,airhumidity
1589605200,96.3,airhumidity
1589608800,95.6,airhumidity
1589612400,91.95,airhumidity
1589616000,82.9,airhumidity
1589619600,81.25,airhumidity
1589623200,84.1,airhumidity
1589626800,80.5,airhumidity
1589630400,80.7,airhumidity
1589634000,76.3,airhumidity
1589637600,76.85,airhumidity
1589641200,79.85,airhumidity
1589644800,82.85,airhumidity
1589648400,83.05,airhumidity
1589652000,85.45,airhumidity
1589655600,89.75,airhumidity
1589659200,92.65,airhumidity
1589662800,93.25,airhumidity
1589666400,94.65,airhumidity
1589670000,95.65,airhumidity
1589673600,96.4,airhumidity
1589677200,96.05,airhumidity
1589680800,95.55,airhumidity
1589684400,95.55,airhumidity
1589688000,95.85,airhumidity
1589691600,95.7,airhumidity
1589695200,94.75,airhumidity
1589698800,92.3,airhumidity
1589702400,87,airhumidity
1589706000,79.6,airhumidity
1589709600,72.2,airhumidity
1589713200,64.8,airhumidity
1589716800,63.6,airhumidity
1589720400,63.95,airhumidity
1589724000,64.95,airhumidity
1589727600,62.3,airhumidity
1589731200,59.75,airhumidity
1589734800,65.35,airhumidity
1589738400,66.3,airhumidity
1589742000,76,airhumidity
1589745600,84.65,airhumidity
1589749200,90,airhumidity
1589752800,93.65,airhumidity
1589756400,95.55,airhumidity
1589760000,95.2,airhumidity
1589763600,97.25,airhumidity
1589767200,96.95,airhumidity
1589770800,97.5,airhumidity
1589774400,97.95,airhumidity
1589778000,98.75,airhumidity
1589781600,98.05,airhumidity
1589785200,90.7,airhumidity
1589788800,81.1,airhumidity
1589792400,75.3,airhumidity
1589796000,73.35,airhumidity
1589799600,70.2,airhumidity
1589803200,66.95,airhumidity
1589806800,68.95,airhumidity
1589810400,68,airhumidity
1589814000,81.25,airhumidity
1589817600,91.1,airhumidity
1589821200,88.75,airhumidity
1589824800,91.2,airhumidity
1589828400,93.75,airhumidity
1589832000,94.9,airhumidity
1589835600,95.3,airhumidity
1589839200,95.4,airhumidity
1589842800,95.85,airhumidity
1589846400,95.75,airhumidity
1589850000,96.45,airhumidity
1589853600,96,airhumidity
1589857200,95.95,airhumidity
1589860800,95.7,airhumidity
1589864400,97.85,airhumidity
1589868000,96.6,airhumidity
1589871600,93.8,airhumidity
1589875200,85.95,airhumidity
1589878800,79.8,airhumidity
1589882400,76.5,airhumidity
1589886000,74.15,airhumidity
1589889600,73.7,airhumidity
1589893200,72.65,airhumidity
1589896800,75.95,airhumidity
1589900400,74.1,airhumidity
1589904000,74.35,airhumidity
1589907600,76.8,airhumidity
1589911200,78.9,airhumidity
1589914800,82.45,airhumidity
1589918400,88.9,airhumidity
1589922000,91.65,airhumidity
1589925600,90.45,airhumidity
1589929200,87.95,airhumidity
1589932800,89.15,airhumidity
1589936400,93,airhumidity
1589940000,94.4,airhumidity
1589943600,95.65,airhumidity
1589947200,96.25,airhumidity
1589950800,95.6,airhumidity
1589954400,95.35,airhumidity
1589958000,94.6,airhumidity
1589961600,92.65,airhumidity
1589965200,92.85,airhumidity
1589968800,93.3,airhumidity
1589972400,89.55,airhumidity
1589976000,87.6,airhumidity
1589979600,78.9,airhumidity
1589983200,76.35,airhumidity
1589986800,78.75,airhumidity
1589990400,77.8,airhumidity
1589994000,76.7,airhumidity
1589997600,72.85,airhumidity
1590001200,75.55,airhumidity
1590004800,85,airhumidity
1590008400,88.3,airhumidity
1590012000,88.5,airhumidity
1590015600,89.15,airhumidity
1590019200,91.1,airhumidity
1590022800,94.3,airhumidity
1590026400,95.3,airhumidity
1590030000,95.9,airhumidity
1590033600,96.05,airhumidity
1590037200,96.25,airhumidity
1590040800,93.95,airhumidity
1590044400,84.8,airhumidity
1590048000,78,airhumidity
1590051600,64.1,airhumidity
1590055200,59.2,airhumidity
1590058800,58.1,airhumidity
1590062400,59.6,airhumidity
1590066000,58.85,airhumidity
1590069600,53.25,airhumidity
1590073200,49.35,airhumidity
1590076800,51.05,airhumidity
1590080400,47.55,airhumidity
1590084000,51.3,airhumidity
1590087600,61.05,airhumidity
1590091200,80.3,airhumidity
1590094800,89.65,airhumidity
1590098400,90.55,airhumidity
1590102000,90,airhumidity
1590105600,87.45,airhumidity
1590109200,88.8,airhumidity
1590112800,86.95,airhumidity
1590116400,87.25,airhumidity
1590120000,93.1,airhumidity
1590123600,93.15,airhumidity
1590127200,84.35,airhumidity
1590130800,72.95,airhumidity
1590134400,53.8,airhumidity
1590138000,48.65,airhumidity
1590141600,48.1,airhumidity
1590145200,47.4,airhumidity
1590148800,49,airhumidity
1590152400,52.6,airhumidity
1590156000,52.8,airhumidity
1590159600,55.25,airhumidity
1590163200,55.85,airhumidity
1590166800,55.15,airhumidity
1590170400,57.6,airhumidity
1590174000,69.55,airhumidity
1590177600,79.9,airhumidity
1590181200,88.75,airhumidity
1590184800,92.75,airhumidity
1590188400,94.2,airhumidity
1590192000,94.95,airhumidity
1590195600,95.5,airhumidity
1590199200,91.2,airhumidity
1590202800,72.9,airhumidity
1590206400,70.75,airhumidity
1590210000,84.7,airhumidity
1590213600,87.4,airhumidity
1590217200,70.05,airhumidity
1590220800,59.05,airhumidity
1590224400,54.85,airhumidity
1590228000,48.85,airhumidity
1590231600,46.7,airhumidity
1590235200,45.95,airhumidity
1590238800,44.7,airhumidity
1590242400,44,airhumidity
1590246000,42.65,airhumidity
1590249600,41.5,airhumidity
1590253200,42.4,airhumidity
1590256800,43.7,airhumidity
1590260400,46.45,airhumidity
1590264000,42.35,airhumidity
1590267600,44.75,airhumidity
1590271200,47.1,airhumidity
1590274800,52.4,airhumidity
1590278400,55.55,airhumidity
1590282000,62.05,airhumidity
1590285600,71.05,airhumidity
1590289200,82.7,airhumidity
1590292800,87.85,airhumidity
1590296400,93.65,airhumidity
1590300000,91.9,airhumidity
1590303600,86.1,airhumidity
1590307200,74.9,airhumidity
1590310800,77.5,airhumidity
1590314400,76.5,airhumidity
1590318000,69.3,airhumidity
1590321600,67.25,airhumidity
1590325200,63.7,airhumidity
1590328800,56.8,airhumidity
1590332400,54.85,airhumidity
1590336000,54.85,airhumidity
1590339600,57.35,airhumidity
1590343200,58.95,airhumidity
1590346800,68.9,airhumidity
1590350400,79.8,airhumidity
1590354000,88.55,airhumidity
1590357600,93.2,airhumidity
1590361200,93.8,airhumidity
1590364800,93.1,airhumidity
1590368400,93.45,airhumidity
1590372000,95.05,airhumidity
1590375600,96.85,airhumidity
1590379200,96,airhumidity
1590382800,97.8,airhumidity
1590386400,93.9,airhumidity
1590390000,78.15,airhumidity
1590393600,64.95,airhumidity
1590397200,60.8,airhumidity
